Label,Extrema_Type,Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
PCloud,maxima,23,2024-12-02T04:16:21.796,2460646.678030045,16,42,-1,318,116.60401526251536,1884.6302346453826,0.5497399161056596
PCloud,maxima,24,2024-12-02T04:34:52.085,2460646.690880615,19,30,-4,330,124.21910480399235,2013.824269786625,0.5272424087879505
PCloud,maxima,25,2024-12-02T04:37:36.000,2460646.6927777776,7,28,8,332,123.82035319321287,1886.0481047142916,0.46274510622024534
PCloud,minima,0,2024-12-02T12:15:06.000,2460647.010486111,8,346,7,14,84.51684608738658,1529.838372605566,0.6169934769471487
PCloud,minima,1,2024-12-02T13:03:36.667,2460647.0441743825,22,344,-7,16,91.2579185068214,1770.7752945457796,0.5866376415446952
PCloud,minima,2,2024-12-03T02:58:45.000,2460647.624131944,6,311,9,49,91.03433635593254,1738.3277413179628,0.542156882584095
PCloud,minima,3,2024-12-03T03:12:14.043,2460647.6334958626,8,287,7,73,112.88288090201452,1602.0485236526822,0.6478932208203254
PCloud,minima,4,2024-12-03T04:30:40.250,2460647.6879658564,9,244,6,116,105.5287310405028,1552.3514513886453,0.6413398906588554
PCloud,minima,5,2024-12-03T05:22:02.400,2460647.723638889,7,211,8,149,91.60394118063029,1689.8979667156,0.6784313917160034
PCloud,minima,6,2024-12-03T05:51:34.588,2460647.7441503266,8,195,7,165,95.00736449048019,1615.8039372106946,0.7584775230463813
PCloud,minima,7,2024-12-03T06:34:26.423,2460647.773916934,8,169,7,191,111.89444376613125,1629.3559325698677,0.7104826718568801
PCloud,minima,8,2024-12-03T07:01:32.880,2460647.7927416665,6,150,9,210,94.44216442514421,1675.0393594045418,0.6195294344425202
PCloud,minima,9,2024-12-03T07:01:32.880,2460647.7927416665,17,148,-2,212,114.91926200014079,1826.0571657051873,0.6071372783184051
PCloud,minima,10,2024-12-03T05:48:27.000,2460647.7419791664,6,132,9,228,88.4680384872553,1598.8571070133573,0.6634675107504192
PCloud,minima,11,2024-12-03T03:03:50.550,2460647.6276684026,23,128,-8,232,94.6097339366702,1819.9547654130993,0.5901960983872413
PCloud,minima,12,2024-12-02T20:48:59.400,2460647.367354166,24,115,-9,245,98.54169646738042,1837.2322670831027,0.5810784518718719
PCloud,minima,13,2024-12-02T18:43:20.550,2460647.2800989584,5,112,10,248,91.76845890889737,1720.6778044824562,0.5034313887357712
PCloud,minima,14,2024-12-02T14:18:01.317,2460647.095848577,4,102,11,258,71.23838796225823,1690.876074862411,0.4953610897064209
PCloud,minima,15,2024-12-02T11:28:28.737,2460646.97811038,4,97,11,263,72.6986424549022,1685.857137131019,0.4938080640215623
PCloud,minima,16,2024-12-02T04:09:26.595,2460646.673224475,7,83,8,277,97.23233243736189,1642.4509540891638,0.5908850262293945
PCloud,minima,17,2024-12-02T03:52:35.878,2460646.6615263605,7,56,8,304,84.6928504709309,1673.2238494058834,0.645778331829577
PCloud,minima,18,2024-12-02T04:03:43.269,2460646.669250801,24,50,-9,310,94.26276589508412,1750.1978211495923,0.601357485812444
PCloud,minima,19,2024-12-02T04:24:52.846,2460646.6839449783,7,37,8,323,85.9033669003658,1583.8141923478079,0.6678733229637146
PCloud,minima,20,2024-12-02T04:37:36.000,2460646.6927777776,22,23,-7,337,93.88218188789159,1808.265646772832,0.6854902148246765
PCloud,minima,21,2024-12-02T04:48:03.000,2460646.700034722,9,12,6,348,95.63781444982467,1699.9279147354337,0.7000000178813934
RGB,maxima,0,2024-12-02T08:12:32.667,2460646.8420447535,7,354,8,6,73.2969270867929,1623.1916194316443,0.6588235453323081
RGB,maxima,1,2024-12-02T12:15:06.000,2460647.010486111,22,347,-7,13,89.84126624742312,1801.7092232972343,0.6117647190888723
RGB,maxima,2,2024-12-02T12:15:06.000,2460647.010486111,8,345,7,15,83.8097124894342,1540.7702116466544,0.6183006763458252
RGB,maxima,3,2024-12-02T17:06:10.000,2460647.212615741,21,339,-6,21,101.22965391646157,1806.650164465055,0.5803921752505832
RGB,maxima,4,2024-12-02T21:08:43.333,2460647.3810570985,21,330,-6,30,106.58346677950608,1865.2724187080564,0.5840232615117674
RGB,maxima,5,2024-12-03T02:49:47.571,2460647.6179117057,21,319,-6,41,110.77175188244414,1929.805749979975,0.5614846189107213
RGB,maxima,6,2024-12-03T02:54:49.875,2460647.62141059,13,315,2,45,122.71337405789505,1848.831117015277,0.5799019811674953
RGB,maxima,7,2024-12-03T02:56:54.353,2460647.622851307,7,313,8,47,101.29775377167728,1768.15234798187,0.5945790261030197
RGB,maxima,8,2024-12-03T02:58:45.000,2460647.624131944,21,310,-6,50,114.25796555738793,1888.432635330205,0.6225490421056747
RGB,maxima,9,2024-12-03T03:09:12.000,2460647.6313888887,21,291,-6,69,125.43689271774517,1895.7124468233967,0.676078450679779
RGB,maxima,10,2024-12-03T03:09:12.000,2460647.6313888887,8,290,7,70,110.32331421379963,1679.7647484992667,0.6619608044624329
RGB,maxima,11,2024-12-03T03:49:03.551,2460647.6590688773,20,268,-5,92,108.07872125491133,1903.7611204872103,0.610084056854248
RGB,maxima,12,2024-12-03T03:54:27.600,2460647.662819444,13,264,2,96,124.90118769329233,1857.5343390153823,0.6094117879867553
RGB,maxima,13,2024-12-03T04:02:18.980,2460647.6682752264,20,259,-5,101,107.76118732210003,1888.1472129494598,0.6051220693150345
RGB,maxima,14,2024-12-03T04:15:37.435,2460647.677516606,8,252,7,108,92.19321354185728,1620.6196281248597,0.6692242311394734
RGB,maxima,15,2024-12-03T04:39:44.400,2460647.6942638885,20,239,-5,121,103.10213556789753,1844.8411082660248,0.6360784530639648
RGB,maxima,16,2024-12-03T04:39:44.400,2460647.6942638885,10,239,5,121,135.12470874186036,1649.231257721698,0.6447059035301208
RGB,maxima,17,2024-12-03T05:00:49.696,2460647.7089085146,20,227,-5,133,103.39420078019178,1860.4118399523838,0.6434782821199169
RGB,maxima,18,2024-12-03T05:03:44.609,2460647.710932971,13,225,2,135,117.28504024060965,1801.9582555143418,0.6589088005864102
RGB,maxima,19,2024-12-03T05:10:49.385,2460647.7158493586,20,219,-5,141,105.4127224362883,1865.8948609569254,0.6236802637577057
RGB,maxima,20,2024-12-03T05:15:54.706,2460647.71938317,7,214,8,146,84.77114088957173,1718.0896312789832,0.7409458055215723
RGB,maxima,21,2024-12-03T05:17:01.200,2460647.7201527776,19,213,-4,147,109.4542489728414,1863.1493974226769,0.6323921787738801
RGB,maxima,22,2024-12-03T05:29:34.200,2460647.7288680556,19,208,-4,152,108.67613614153105,1879.3479930370816,0.6242353165149689
RGB,maxima,23,2024-12-03T05:29:34.200,2460647.7288680556,24,208,-9,152,86.02781528957816,1884.7468725516744,0.6208627647161484
RGB,maxima,24,2024-12-03T05:42:56.760,2460647.738156944,21,199,-6,161,99.05742241795929,1881.983786976263,0.6484706079959869
RGB,maxima,25,2024-12-03T05:50:28.200,2460647.743381944,9,196,6,164,96.16572942273798,1635.2153073625884,0.8169411873817444
RGB,maxima,26,2024-12-03T05:58:49.800,2460647.7491875,19,188,-4,172,106.46146816278403,1852.1641274188873,0.6964706063270569
RGB,maxima,27,2024-12-03T06:23:32.471,2460647.7663480393,8,174,7,186,96.85823455767841,1764.889184997359,0.7527874030318915
RGB,maxima,28,2024-12-03T06:28:27.529,2460647.769763072,21,172,-6,188,108.5503520806913,1881.1033380414792,0.6684352346495086
RGB,maxima,29,2024-12-03T06:59:22.615,2460647.7912339745,7,152,8,208,101.50930832884251,1720.5104874542365,0.7100301831960677
RGB,maxima,30,2024-12-03T07:01:32.880,2460647.7927416665,20,149,-5,211,109.49723551366802,1835.6311539063427,0.6918431556224823
RGB,maxima,31,2024-12-03T07:16:51.730,2460647.8033765014,21,134,-6,226,101.03615594239338,1893.7916468477,0.6576576780628515
RGB,maxima,32,2024-12-03T05:48:27.000,2460647.7419791664,8,132,7,228,105.0717819250296,1616.0079390769877,0.7311661651259974
RGB,maxima,33,2024-12-03T00:49:15.231,2460647.5342040597,20,124,-5,236,109.0807520783855,1865.526197098115,0.6799396803745856
RGB,maxima,34,2024-12-02T22:41:59.538,2460647.4458279912,10,118,5,242,137.277764356492,1828.9270411014604,0.6229261136971987
RGB,maxima,35,2024-12-02T20:48:59.400,2460647.367354166,21,115,-6,245,107.02952636432323,1843.1630412921813,0.6433333501219749
RGB,maxima,36,2024-12-02T15:57:54.150,2460647.165210069,20,105,-5,255,116.42055472708856,1884.5977287871779,0.6300000190734864
RGB,maxima,37,2024-12-02T11:28:28.737,2460646.97811038,20,97,-5,263,115.34673567360849,1925.9413085795707,0.5928792812322315
RGB,maxima,38,2024-12-02T10:21:48.000,2460646.9318055557,7,95,8,265,91.342313288544,1738.6608951764476,0.6254902184009552
RGB,maxima,39,2024-12-02T03:24:46.054,2460646.6421997,9,81,6,279,118.79954731682912,1672.5261893726004,0.6128246115671623
RGB,maxima,40,2024-12-02T03:24:46.054,2460646.6421997,21,81,-6,279,104.27885564308396,1924.4782845756718,0.5910970028993245
RGB,maxima,41,2024-12-02T03:36:42.383,2460646.650490544,20,68,-5,292,104.49406230449024,1929.3249130901463,0.6076762841102924
RGB,maxima,42,2024-12-02T03:50:00.490,2460646.659727891,8,57,7,303,92.11875225498761,1688.979277293322,0.6497799328395298
RGB,maxima,43,2024-12-02T04:00:22.041,2460646.666921769,20,53,-5,307,99.5267937071909,1792.8640293611404,0.6421768896433772
RGB,maxima,44,2024-12-02T04:16:21.796,2460646.678030045,21,42,-6,318,100.4426058192052,1812.550191647241,0.6472189073659935
RGB,maxima,45,2024-12-02T04:26:55.154,2460646.6853605765,7,36,8,324,88.26521961194189,1586.295611417052,0.6717194765806198
RGB,maxima,46,2024-12-02T04:38:33.000,2460646.6934375,21,22,-6,338,97.45633689020947,1820.6129850795821,0.7000000178813933
RGB,maxima,47,2024-12-02T04:46:38.270,2460646.699054054,20,15,-5,345,100.59785629997188,1844.9298432396265,0.7018548137432821
RGB,maxima,48,2024-12-02T04:48:03.000,2460646.700034722,8,13,7,347,80.39545249932428,1733.198407514737,0.7313725650310516
RGB,minima,0,2024-12-02T07:24:02.000,2460646.8083564816,17,355,-2,5,124.8747769627589,2011.0247811125028,0.4657952090104421
RGB,minima,1,2024-12-02T12:15:06.000,2460647.010486111,12,349,3,11,109.18843457683568,1703.5830917744713,0.5150326987107595
RGB,minima,2,2024-12-02T17:06:10.000,2460647.212615741,17,339,-2,21,121.38209082747726,1844.9329158153478,0.4806100328763326
RGB,minima,3,2024-12-02T21:08:43.333,2460647.3810570985,6,330,9,30,129.13390962792593,1800.799563871653,0.44386347466044956
RGB,minima,4,2024-12-03T01:59:47.333,2460647.5831867284,17,324,-2,36,123.04178705868325,1917.5244218404187,0.490922306422834
RGB,minima,5,2024-12-03T02:48:18.000,2460647.616875,6,322,9,38,120.59176876384242,1902.7512863015281,0.4143790900707245
RGB,minima,6,2024-12-03T02:54:49.875,2460647.62141059,18,315,-3,45,127.35848970002827,1960.560281412283,0.4806372560560704
RGB,minima,7,2024-12-03T02:58:45.000,2460647.624131944,4,311,11,49,88.71009223141459,1771.2470796276896,0.4539215713739395
RGB,minima,8,2024-12-03T03:05:07.317,2460647.6285569104,24,302,-9,58,114.00500764218802,1964.1400625602946,0.4830224848375088
RGB,minima,9,2024-12-03T03:09:12.000,2460647.6313888887,4,296,11,64,85.8538237746128,1808.091932157876,0.44470588564872743
