#  WV (nm)   Kark1994  MUSE 0730  MUSE 0919     T620       T632       T647       T656       CH4        NH3
   666.500  0.4997250  0.4898322  0.5353955  0.0000000  0.0000000  0.0000000  0.0705303  0.1807250  0.0132200
   667.000  0.5003000  0.4886349  0.5347955  0.0000000  0.0000000  0.0000000  0.0616542  0.1765000  0.0103181
   667.500  0.5010250  0.4886051  0.5342419  0.0000000  0.0000000  0.0000000  0.0525034  0.1733250  0.0092433
   668.000  0.5027000  0.4884962  0.5343934  0.0000000  0.0000000  0.0000000  0.0457006  0.1692000  0.0081685
   668.500  0.5035250  0.4884459  0.5349005  0.0000000  0.0000000  0.0000000  0.0399940  0.1597250  0.0085178
   669.000  0.5040000  0.4885723  0.5345834  0.0000000  0.0000000  0.0000000  0.0347828  0.1515000  0.0088671
   669.500  0.5053750  0.4882095  0.5355812  0.0000000  0.0000000  0.0000000  0.0305107  0.1387000  0.0098344
   670.000  0.5082000  0.4881995  0.5359749  0.0000000  0.0000000  0.0000000  0.0269792  0.1228000  0.0108017
   670.500  0.5115750  0.4888839  0.5371473  0.0000000  0.0000000  0.0000000  0.0240710  0.1070500  0.0119034
   671.000  0.5136500  0.4896318  0.5385291  0.0000000  0.0000000  0.0000000  0.0211404  0.0946000  0.0130051
   671.500  0.5140000  0.4913109  0.5392204  0.0000000  0.0000000  0.0000000  0.0185700  0.0819250  0.0140396
   672.000  0.5167000  0.4927169  0.5407509  0.0000000  0.0000000  0.0000000  0.0171605  0.0657000  0.0150741
   672.500  0.5190750  0.4944281  0.5419412  0.0000000  0.0000000  0.0000000  0.0155471  0.0529750  0.0163504
   673.000  0.5225000  0.4959711  0.5431213  0.0000000  0.0000000  0.0000000  0.0138951  0.0427000  0.0176267
   673.500  0.5239000  0.4963895  0.5446435  0.0000000  0.0000000  0.0000000  0.0127053  0.0354250  0.0195211
   674.000  0.5238000  0.4969664  0.5446102  0.0000000  0.0000000  0.0000000  0.0113881  0.0295000  0.0214154
   674.500  0.5247500  0.4978350  0.5454088  0.0000000  0.0000000  0.0000000  0.0105488  0.0246750  0.0242770
   675.000  0.5272500  0.4990030  0.5464562  0.0000000  0.0000000  0.0000000  0.0094019  0.0182000  0.0271387
   675.500  0.5299750  0.5004000  0.5480837  0.0000000  0.0000000  0.0000000  0.0087358  0.0125500  0.0321097
   676.000  0.5313000  0.5019818  0.5497790  0.0000000  0.0000000  0.0000000  0.0080658  0.0095000  0.0370806
   676.500  0.5302500  0.5031596  0.5515790  0.0000000  0.0000000  0.0000000  0.0077102  0.0078250  0.0442011
   677.000  0.5297000  0.5044381  0.5528908  0.0000000  0.0000000  0.0000000  0.0071168  0.0060000  0.0513217
   677.500  0.5308750  0.5053549  0.5541411  0.0000000  0.0000000  0.0000000  0.0062731  0.0047750  0.0618010
   678.000  0.5320000  0.5063389  0.5553340  0.0000000  0.0000000  0.0000000  0.0058651  0.0044000  0.0722803
   678.500  0.5318500  0.5067423  0.5560077  0.0000000  0.0000000  0.0000000  0.0053989  0.0052250  0.0875962
   679.000  0.5294000  0.5070564  0.5565005  0.0000000  0.0000000  0.0000000  0.0050994  0.0083000  0.1029121
   679.500  0.5262750  0.5066902  0.5561393  0.0000000  0.0000000  0.0000000  0.0048587  0.0138500  0.1206463
   680.000  0.5256000  0.5060448  0.5559740  0.0000000  0.0000000  0.0000000  0.0047474  0.0203000  0.1383805
