observation,analysis,n_clusters,variable,cluster,mean,stddev
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,645,4,0.6163877,0.0493665
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,645,5,0.65713876,0.021080505
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,673,1,0.69570374,0.044895723
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,673,2,0.6306743,0.019489795
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,673,3,0.63121504,0.032195307
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,673,4,0.68473506,0.0367587
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,673,5,0.71902114,0.02022983
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,727,1,0.33219728,0.027873294
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,727,2,0.28579527,0.009799758
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,727,3,0.28589538,0.019269284
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,727,4,0.32268828,0.027074983
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,727,5,0.32590497,0.008005065
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,889,1,0.08026333,0.008326396
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,889,2,0.057849847,0.0038136207
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,889,3,0.06950764,0.0076197265
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,889,4,0.08126272,0.005669211
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,5,889,5,0.07467696,0.0031937861
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,275,1,0.30797365,0.004114615
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,275,2,0.2942085,0.0068469723
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,275,3,0.3207295,0.0065939
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,275,4,0.31390023,0.006960029
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,275,5,0.30758092,0.008927812
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,275,6,0.29512462,0.009846328
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,395,1,0.4614412,0.012805398
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,395,2,0.3887592,0.03213875
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,395,3,0.27516985,0.01260245
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,395,4,0.46610674,0.015536629
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,395,5,0.33072662,0.026667353
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,395,6,0.39095166,0.060563404
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,502,1,0.647346,0.01776477
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,502,2,0.576947,0.03439619
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,502,3,0.4363875,0.025228728
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,502,4,0.67092085,0.020835284
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,502,5,0.5197889,0.036278646
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,502,6,0.60427016,0.06693791
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,619,1,0.566924,0.03187424
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,619,2,0.5136514,0.036652483
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,619,3,0.51154125,0.020903133
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,619,4,0.60601664,0.019645326
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,619,5,0.52138907,0.039671075
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,619,6,0.60892,0.052143514
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,631,1,0.67067826,0.026815984
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,631,2,0.61741614,0.03195375
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,631,3,0.60299814,0.02154827
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,631,4,0.71286064,0.02173848
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,631,5,0.6165526,0.03876746
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,631,6,0.70032877,0.053889334
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,645,1,0.61070144,0.033975456
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,645,2,0.56524545,0.03947156
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,645,3,0.5851982,0.021794993
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,645,4,0.65858006,0.0207767
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,645,5,0.5869421,0.039054986
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,645,6,0.6733368,0.054308422
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,673,1,0.6818413,0.025086965
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,673,2,0.6360384,0.029460045
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,673,3,0.63075036,0.019533252
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,673,4,0.72002363,0.020390743
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,673,5,0.6352839,0.035940804
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,673,6,0.71328515,0.05104361
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,727,1,0.31839538,0.020149224
20251016UTa-NEZ-A1,275_395_502_619_631_645_673_727_889,6,727,2,0.29445824,0.020927992
