id_raw,xcenter_raw,ycenter_raw,aperture_sum_raw,aperture_sum_bkg,net_count_rate,Target,Filter,Date-Obs,SessionID
2,559.0,663.0,1020098.3924430083,2629577.693920518,1619.369391562578,2_Europa,940NIR,2021-09-05T04:32:45,20210905UT
3,981.0,372.0,1008979.668927544,2643475.6140971854,841.7292210047433,1_Io,940NIR,2021-09-05T04:32:45,20210905UT
1,439.0,731.0,6903616647.57616,40590011.67708844,214595283.42152166,0_Jupiter,632OI,2021-09-06T04:40:37,20210906UT
1,266.0,852.0,7312077.891841002,4285436.546062179,178282.47459586515,1_Io,632OI,2021-09-06T04:40:37,20210906UT
2,564.0,650.0,5736791.074105919,4445002.805350291,127184.84444061125,2_Europa,632OI,2021-09-06T04:40:37,20210906UT
3,1302.0,105.0,4242663.166484441,3958866.12971992,86190.26149498345,4_Callisto,632OI,2021-09-06T04:40:37,20210906UT
1,439.0,731.0,5815302872.0181055,37758840.98129734,192709529.9387027,0_Jupiter,647CNT,2021-09-06T04:41:40,20210906UT
1,266.0,852.0,6669719.543154681,3971222.9537735786,172683.697849653,1_Io,647CNT,2021-09-06T04:41:40,20210906UT
2,564.0,650.0,5199600.784330093,4154807.2340354864,121384.93571889286,2_Europa,647CNT,2021-09-06T04:41:40,20210906UT
3,1302.0,105.0,3853928.864564442,3693784.6948990272,82291.98679924356,4_Callisto,647CNT,2021-09-06T04:41:40,20210906UT
1,439.0,731.0,4494835344.600743,38773464.46235367,148663476.51785198,0_Jupiter,656HIA,2021-09-06T04:41:56,20210906UT
1,266.0,852.0,5556766.058904289,4137674.0906182854,133504.60916408108,1_Io,656HIA,2021-09-06T04:41:56,20210906UT
2,564.0,650.0,4370899.456159996,4324936.781511486,91634.93876977295,2_Europa,656HIA,2021-09-06T04:41:56,20210906UT
3,1302.0,105.0,3260108.170150783,3685450.711465925,62602.138445035365,4_Callisto,656HIA,2021-09-06T04:41:56,20210906UT
1,439.0,731.0,61905796.3805399,25049723.362701323,1356499.2426125496,0_Jupiter,889CH4,2021-09-06T05:06:01,20210906UT
1,266.0,852.0,1577179.928467831,3471481.3701091516,9495.66947161721,1_Io,889CH4,2021-09-06T05:06:01,20210906UT
2,564.0,650.0,1499108.6066196985,3473740.051484379,6774.347838381257,2_Europa,889CH4,2021-09-06T05:06:01,20210906UT
3,1302.0,105.0,1475123.9938636003,3454120.438789576,6200.994114396877,4_Callisto,889CH4,2021-09-06T05:06:01,20210906UT
1,439.0,731.0,139634375.69263342,26279860.023584228,3865294.204061227,0_Jupiter,940NIR,2021-09-06T05:06:03,20210906UT
1,266.0,852.0,1440578.8796128077,3598116.5138998586,3042.839563345358,1_Io,940NIR,2021-09-06T05:06:03,20210906UT
2,564.0,650.0,1402743.4087308752,3609178.432252632,1643.38322120461,2_Europa,940NIR,2021-09-06T05:06:03,20210906UT
3,1302.0,105.0,1397736.9074229375,3580583.961840559,1833.9307244242634,4_Callisto,940NIR,2021-09-06T05:06:03,20210906UT
1,728.0,627.0,1478323852.1959038,16901547.179071844,154010235.0648062,0_Jupiter,632OI,2021-11-22T01:51:06,20211122UT
1,251.0,427.0,2355137.203317877,2081444.1238937248,165746.91124818212,3_Ganymede,632OI,2021-11-22T01:51:06,20211122UT
2,285.0,453.0,1226359.6136291653,2065122.163935605,47572.50548982246,4_Callisto,632OI,2021-11-22T01:51:06,20211122UT
3,442.0,505.0,1743880.3858505092,2086849.5809801668,101190.71505083649,2_Europa,632OI,2021-11-22T01:51:06,20211122UT
4,847.0,681.0,1905177.6754500815,2190430.3814556124,114080.66130570807,1_Io,632OI,2021-11-22T01:51:06,20211122UT
1,728.0,627.0,1398765704.4733245,18080289.907421596,138247715.5007179,0_Jupiter,647CNT,2021-11-22T01:51:37,20211122UT
1,251.0,427.0,2401459.184105684,2194181.815967797,157864.100311776,3_Ganymede,647CNT,2021-11-22T01:51:37,20211122UT
2,285.0,453.0,1267976.210489603,2176213.2712297817,45189.62337784348,4_Callisto,647CNT,2021-11-22T01:51:37,20211122UT
3,442.0,505.0,1774755.0510999076,2191606.1509767477,95290.27444836272,2_Europa,647CNT,2021-11-22T01:51:37,20211122UT
4,847.0,681.0,1972648.229928028,2315313.051045011,110440.5835786149,1_Io,647CNT,2021-11-22T01:51:37,20211122UT
1,728.0,627.0,2102689579.6885724,22307688.41354225,104129628.15498978,0_Jupiter,656HIA,2021-11-22T01:51:55,20211122UT
1,251.0,427.0,3290348.318122074,2472543.7316094493,118157.22093842653,3_Ganymede,656HIA,2021-11-22T01:51:55,20211122UT
2,285.0,453.0,1588596.8007328361,2455286.5122361733,33393.217932213556,4_Callisto,656HIA,2021-11-22T01:51:55,20211122UT
3,442.0,505.0,2318118.3739901045,2470078.7314643646,69591.94248454839,2_Europa,656HIA,2021-11-22T01:51:55,20211122UT
4,847.0,681.0,2667582.9024471976,2761600.4037726354,81599.13755162296,1_Io,656HIA,2021-11-22T01:51:55,20211122UT
1,728.0,627.0,985067541.4873341,18755104.51573813,48408552.546630755,0_Jupiter,730OII,2021-11-22T01:52:13,20211122UT
