Label,Extrema_Type,Index,Time_FITS,Time_JD,Pixel_Row,Pixel_Col,Latitude,Longitude,Value_NH3,Value_PCloud,Value_RGB
RGB,minima,10,2025-01-27T03:03:52.800,2460702.6276944443,24,245,-9,115,103.05299620160652,1990.2411250558148,0.4211423746917559
RGB,minima,11,2025-01-27T03:03:52.800,2460702.6276944443,6,244,9,116,126.97559655019082,1966.5347009138045,0.3749019682407379
RGB,minima,12,2025-01-27T03:25:14.930,2460702.6425339147,5,232,10,128,78.90695580567014,1802.90816242719,0.32557933303442865
RGB,minima,13,2025-01-27T03:27:44.400,2460702.6442638887,23,229,-8,131,100.26224545623153,1864.8044282749222,0.4345098078250885
RGB,minima,14,2025-01-27T03:30:56.143,2460702.6464831354,4,224,11,136,79.78932757968012,1766.881003870847,0.39910874041644007
RGB,minima,15,2025-01-27T03:32:06.293,2460702.6472950545,24,223,-9,137,97.41504666498925,1790.1568963428215,0.43003565479408606
RGB,minima,16,2025-01-27T03:51:36.000,2460702.6608333336,25,215,-10,145,97.47421708538347,1829.2203441133274,0.39686275124549864
RGB,minima,17,2025-01-27T03:52:41.045,2460702.661586174,5,213,10,147,124.33809065567178,1925.9438197197226,0.2900217960278193
RGB,minima,18,2025-01-27T03:52:41.045,2460702.661586174,15,213,0,147,137.30398273896242,1973.4286311272876,0.35154684980710343
RGB,minima,19,2025-01-27T04:10:48.146,2460702.6741683604,24,209,-9,151,101.77954507989386,1926.1942612809466,0.41612200935681665
RGB,minima,20,2025-01-27T04:15:27.600,2460702.677402778,12,203,3,157,141.6936822397568,1955.8572599882439,0.426666671037674
RGB,minima,21,2025-01-27T04:37:14.233,2460702.69252584,15,194,0,166,135.2785951603502,1938.2206439505828,0.42308378355069587
RGB,minima,22,2025-01-27T04:37:14.233,2460702.69252584,23,194,-8,166,110.6011764728336,2000.2037962479028,0.3950980454683304
RGB,minima,23,2025-01-27T05:00:11.571,2460702.7084672623,7,182,8,178,137.23797261034846,2039.933716389784,0.3403743410652334
RGB,minima,24,2025-01-27T05:03:10.800,2460702.7105416665,25,173,-10,187,116.83109115097068,2001.8549666693134,0.3969962514461355
RGB,minima,25,2025-01-27T05:03:10.800,2460702.7105416665,13,171,2,189,133.8661408997696,1833.2394419627383,0.439855945961816
RGB,minima,26,2025-01-27T05:15:39.808,2460702.7192107374,5,165,10,195,98.03218018040049,1791.2456270238565,0.3631221801042557
RGB,minima,27,2025-01-27T05:36:35.654,2460702.7337459936,15,152,0,208,138.11087908304384,1818.5300593531776,0.4712669751965083
RGB,minima,28,2025-01-27T05:45:02.400,2460702.739611111,7,146,8,214,102.6567936901681,1752.2981164276916,0.4221960884332657
RGB,minima,29,2025-01-27T06:13:21.177,2460702.759272876,4,131,11,229,79.60324381429507,1716.924148982295,0.4387543341692756
RGB,minima,30,2025-01-27T06:17:25.245,2460702.762097746,25,128,-10,232,110.23197913689039,1983.6250142652875,0.4113207650634478
RGB,minima,31,2025-01-27T06:26:54.000,2460702.7686805557,7,123,8,237,115.71101984349491,1759.33698020742,0.4303921665996313
RGB,minima,32,2025-01-27T06:49:30.480,2460702.7843805556,7,89,8,271,124.59227348702314,1907.9563232228768,0.43686274886131293
RGB,minima,33,2025-01-27T07:00:24.000,2460702.7919444446,13,75,2,285,130.00750600779338,1917.9648365894257,0.4156862795352936
